"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600203","1999-05-14","1999","","","1999-05-07","1999-04-19","1999-05-14","A","70000000","3.8100","CNY","5.830","0.530184","0.15116","0.61521","29.79","5.32"
"600205","1999-06-30","1999","","","1999-06-18","1999-06-07","1999-06-30","A","160000000","3.4900","CNY","7.990","1.289398","0.16254","0.56888","34.45","12.88"
"600206","1999-03-19","1999","","","1999-03-12","1999-01-21","1999-03-19","A","65000000","8.5400","CNY","22.350","1.617096","0.29754","0.73750","78.66","32.29"
"600207","1999-07-14","1999","","","1998-09-21","1999-06-21","1999-07-14","A","180000000","7.2000","CNY","11.550","0.604167","0.16143","0.46152","39.04","12.10"
"600208","1999-06-23","1999","","","1993-02-23","1999-06-02","1999-06-23","A","65000000","5.0000","CNY","18.210","2.642000","0.17646","0.63053","112.79","18.61"
"600209","1999-03-25","1999","","","1993-05-06","1999-02-03","1999-03-25","A","50000000","6.3900","CNY","9.220","0.442879","0.15577","0.52855","32.13","10.47"
"600210","1999-08-24","1999","","","1999-03-30","1999-07-13","1999-08-24","A","85000000","7.8400","CNY","14.740","0.880102","0.14103","0.59618","57.53","20.00"
"600211","1999-07-21","1999","","","1999-07-14","1999-07-01","1999-07-21","A","45000000","6.0000","CNY","23.000","2.833333","0.27454","0.74796","88.31","27.92"
"600212","1999-08-17","1999","","","1992-12-14","1999-07-08","1999-08-17","A","55000000","6.0000","CNY","12.230","1.038333","0.13656","0.60426","51.68","6.02"
"600213","1999-08-31","1999","","","1998-09-28","1999-07-22","1999-08-31","A","60000000","6.3800","CNY","11.200","0.755486","0.14900","0.52427","42.33","10.42"
"600215","1999-09-09","1999","","","1993-06-26","1999-07-28","1999-09-09","A","75000000","9.5000","CNY","18.590","0.956842","0.14210","0.53682","37.51","8.36"
"600216","1999-10-21","1999","","","1997-05-16","1999-08-11","1999-10-21","A","58000000","5.1600","CNY","12.970","1.513566","0.15158","0.67020","76.23","8.74"
"600217","1999-12-16","1999","","","1996-11-06","1999-09-08","1999-12-16","A","70000000","5.9000","CNY","7.980","0.352542","0.14228","0.46638","33.17","8.65"
