month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2016,-0.249394,-0.288149,0.001241,-0.250635,-0.28939,-0.165975942376324,-0.169640003770119,-0.128550152702023,3.97175794537207,3.90915560652473,4.19609096801579,4.87841079836771
2016.08333333333,-0.021766,-0.020677,0.001241,-0.023007,-0.021918,0.0900865150044174,0.123736258948222,0.177316610987989,2.5379471962114,3.88748162478204,3.90915560652473,3.97175794537207
2016.16666666667,0.140934,0.194471,0.001241,0.139693,0.19323,0.110086896785624,0.197272461632401,0.236621706352323,3.35231633714114,4.02841385714423,3.88748162478204,2.5379471962114
2016.25,-0.019968,0.000143,0.001241,-0.021209,-0.001098,-0.00363516524936136,0.0277435808576512,0.0760677408082449,3.10844863956994,4.0273210062047,4.02841385714423,3.35231633714114
2016.33333333333,-0.003879,-0.009437,0.001241,-0.00512,-0.010678,0.0304566693032637,0.0802936992454684,0.0718205317408158,4.96290166345926,4.03534074152792,4.0273210062047,3.10844863956994
2016.41666666667,0.024443,0.068074,0.001241,0.023202,0.066833,0.0779081265469772,0.131400330483014,0.0555453870853504,6.9362048106979,4.00738482502952,4.03534074152792,4.96290166345926
2016.5,0.01344,-0.000337,0.001241,0.012199,-0.001578,0.0313893944632722,0.0505555537659923,0.0740177920212852,6.7989411326451,4.08540628162865,4.00738482502952,6.9362048106979
2016.58333333333,0.041826,0.057596,0.001241,0.040585,0.056355,0.0480799209557601,0.046548707013683,0.0907928987183844,4.72671538977581,4.09316368539464,4.08540628162865,6.7989411326451
2016.66666666667,-0.019616,-0.003396,0.001241,-0.020857,-0.004637,0.0491864215299909,0.0314389319290582,0.0754196805308971,3.55616726129922,4.08643204121,4.09316368539464,4.72671538977581
2016.75,0.029781,0.047199,0.001241,0.02854,0.045958,0.0184028966722605,0.0464802434615952,0.105833644779706,4.76512827873603,4.12636823343351,4.08643204121,3.55616726129922
2016.83333333333,0.042922,0.039448,0.001241,0.041681,0.038207,-0.00162618887058774,-0.00834087359886482,0.0887292240431177,4.31237799851434,4.17664488073396,4.12636823343351,4.76512827873603
2016.91666666667,-0.048279,-0.045215,0.001241,-0.04952,-0.046456,-0.017029726313436,-0.0674672496014501,0.0159235455676527,2.90336461783249,4.14119310990768,4.17664488073396,4.31237799851434
2017,0.009602,-0.024032,0.001241,0.008361,-0.025273,0.0274023201813343,0.0218186134221836,0.069179767109111,2.85711730668335,4.15454310355566,4.14119310990768,2.90336461783249
2017.08333333333,0.026891,0.057966,0.001241,0.02565,0.056725,-0.00669455475044412,0.0416468402938666,0.101104628504087,4.01802714595478,4.18803180016019,4.15454310355566,2.85711730668335
2017.16666666667,-0.005422,-0.01479,0.001241,-0.006663,-0.016031,-0.0510531573192438,0.0421076012771413,0.0105617004549821,3.31627036010033,4.18656275503334,4.18803180016019,4.01802714595478
2017.25,-0.023783,-0.057811,0.001241,-0.025024,-0.059052,-0.00551419566195255,0.0559858327659104,0.00101328252638355,2.26339030014457,4.1570471998345,4.18656275503334,3.31627036010033
2017.33333333333,-0.018796,-0.075439,0.001241,-0.020037,-0.07668,0.0485102765356158,0.097217144292304,-0.00870949494955831,2.22916800879218,4.1131614559139,4.1570471998345,2.26339030014457
2017.41666666667,0.04212,0.03822,0.001241,0.040879,0.036979,0.0979884198878162,0.089249519995803,0.012022221007475,2.00076432236984,4.1606915926296,4.1131614559139,2.22916800879218
